"","file_id","genus","species","english_cname","who_provided_recording","country","latitude","longitute","type","license","fill"
"1",35068,"Acanthis","flammea","Common Redpoll","Sander Bot","Netherlands",52.8176,6.4326,"Both","http://creativecommons.org/licenses/by-nc-nd/2.5/","grey"
"2",82715,"Acrocephalus","palustris","Marsh Warbler","Dougie Preston","UK",60.3539,-1.2689,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","darkslategray1"
"3",64685,"Acrocephalus","palustris","Marsh Warbler","Dougie Preston","UK",60.3539,-1.2689,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","darkslategray1"
"4",64686,"Acrocephalus","palustris","Marsh Warbler","Dougie Preston","UK",60.3539,-1.2689,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","darkslategray1"
"5",120664,"Acrocephalus","schoenobaenus","Sedge Warbler","david m","UK",56.586,-6.1855,"Song","http://creativecommons.org/licenses/by-nc-nd/3.0/","darkslategray1"
"6",120666,"Acrocephalus","schoenobaenus","Sedge Warbler","david m","UK",56.586,-6.1855,"Song","http://creativecommons.org/licenses/by-nc-nd/3.0/","darkslategray1"
"7",76767,"Acrocephalus","schoenobaenus","Sedge Warbler","Richard Dunn","UK",55.2809,-1.5801,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","darkslategray1"
"8",124052,"Acrocephalus","scirpaceus","Eurasian Reed Warbler","david m","UK",51.8985,-0.5372,"Both","http://creativecommons.org/licenses/by-nc-nd/3.0/","darkslategray1"
"9",124053,"Acrocephalus","scirpaceus","Eurasian Reed Warbler","david m","UK",51.8985,-0.5372,"Both","http://creativecommons.org/licenses/by-nc-nd/3.0/","darkslategray1"
"10",27999,"Acrocephalus","scirpaceus","Eurasian Reed Warbler","Stuart Fisher","UK",51.2887,-0.5267,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","darkslategray1"
"11",113082,"Aegithalos","caudatus","Long-tailed Tit","Timo Roeke","Netherlands",52.2766,6.7271,"Call","http://creativecommons.org/licenses/by-nc-sa/3.0/","grey"
